,y_pred
0,chocolate
1,cookies_biscuits
2,cookies_biscuits
3,cakes_cupcakes_snack_cakes
4,chocolate
5,cookies_biscuits
6,cookies_biscuits
7,cookies_biscuits
8,cakes_cupcakes_snack_cakes
9,candy
10,chips_pretzels_snacks
11,cakes_cupcakes_snack_cakes
12,cakes_cupcakes_snack_cakes
13,cookies_biscuits
14,cookies_biscuits
15,cookies_biscuits
16,chips_pretzels_snacks
17,popcorn_peanuts_seeds_related_snacks
18,cakes_cupcakes_snack_cakes
19,popcorn_peanuts_seeds_related_snacks
20,popcorn_peanuts_seeds_related_snacks
21,chips_pretzels_snacks
22,popcorn_peanuts_seeds_related_snacks
23,cookies_biscuits
24,chips_pretzels_snacks
25,chips_pretzels_snacks
26,popcorn_peanuts_seeds_related_snacks
27,chips_pretzels_snacks
28,popcorn_peanuts_seeds_related_snacks
29,chips_pretzels_snacks
30,chips_pretzels_snacks
31,chips_pretzels_snacks
32,chips_pretzels_snacks
33,popcorn_peanuts_seeds_related_snacks
34,chips_pretzels_snacks
35,chips_pretzels_snacks
36,chips_pretzels_snacks
37,chips_pretzels_snacks
38,chips_pretzels_snacks
39,chips_pretzels_snacks
40,chips_pretzels_snacks
41,chips_pretzels_snacks
42,chocolate
43,cakes_cupcakes_snack_cakes
44,chips_pretzels_snacks
45,chocolate
46,popcorn_peanuts_seeds_related_snacks
47,cookies_biscuits
48,cookies_biscuits
49,cookies_biscuits
50,chips_pretzels_snacks
51,chips_pretzels_snacks
52,chips_pretzels_snacks
53,chips_pretzels_snacks
54,popcorn_peanuts_seeds_related_snacks
55,cookies_biscuits
56,chips_pretzels_snacks
57,candy
58,chips_pretzels_snacks
59,chips_pretzels_snacks
60,chips_pretzels_snacks
61,chips_pretzels_snacks
62,cakes_cupcakes_snack_cakes
63,cakes_cupcakes_snack_cakes
64,cakes_cupcakes_snack_cakes
65,cookies_biscuits
66,cookies_biscuits
67,popcorn_peanuts_seeds_related_snacks
68,cakes_cupcakes_snack_cakes
69,cookies_biscuits
70,cookies_biscuits
71,cakes_cupcakes_snack_cakes
72,cakes_cupcakes_snack_cakes
73,chips_pretzels_snacks
74,popcorn_peanuts_seeds_related_snacks
75,chips_pretzels_snacks
76,popcorn_peanuts_seeds_related_snacks
77,popcorn_peanuts_seeds_related_snacks
78,popcorn_peanuts_seeds_related_snacks
79,candy
80,cookies_biscuits
81,cookies_biscuits
82,popcorn_peanuts_seeds_related_snacks
83,popcorn_peanuts_seeds_related_snacks
84,chips_pretzels_snacks
85,popcorn_peanuts_seeds_related_snacks
86,cookies_biscuits
87,cakes_cupcakes_snack_cakes
88,chocolate
89,chips_pretzels_snacks
90,chips_pretzels_snacks
91,chips_pretzels_snacks
92,cookies_biscuits
93,popcorn_peanuts_seeds_related_snacks
94,popcorn_peanuts_seeds_related_snacks
95,chips_pretzels_snacks
96,chips_pretzels_snacks
97,cookies_biscuits
98,cookies_biscuits
99,cookies_biscuits
100,cookies_biscuits
