nutrient_id,name,unit_name
1002,Nitrogen,G
1003,Protein,G
1004,Total lipid (fat),G
1005,"Carbohydrate, by difference",G
1007,Ash,G
1008,Energy,KCAL
1009,Starch,G
1010,Sucrose,G
1011,Glucose (dextrose),G
1012,Fructose,G
1013,Lactose,G
1014,Maltose,G
1018,"Alcohol, ethyl",G
1024,Specific Gravity,SP_GR
1026,Acetic acid,MG
1032,Citric acid,MG
1038,Lactic acid,MG
1039,Malic acid,MG
1050,"Carbohydrate, by summation",G
1051,Water,G
1056,Sorbitol,G
1057,Caffeine,MG
1058,Theobromine,MG
1062,Energy,kJ
1063,"Sugars, Total NLEA",G
1072,"Carbohydrate, other",G
1075,Galactose,G
1078,Xylitol,G
1079,"Fiber, total dietary",G
1081,Ribose,G
1082,"Fiber, soluble",G
1084,"Fiber, insoluble",G
1085,Total fat (NLEA),G
1086,Total sugar alcohols,G
1087,"Calcium, Ca",MG
1088,"Chlorine, Cl",MG
1089,"Iron, Fe",MG
1090,"Magnesium, Mg",MG
1091,"Phosphorus, P",MG
1092,"Potassium, K",MG
1093,"Sodium, Na",MG
1094,"Sulfur, S",MG
1095,"Zinc, Zn",MG
1096,"Chromium, Cr",UG
1097,"Cobalt, Co",UG
1098,"Copper, Cu",MG
1099,"Fluoride, F",UG
1100,"Iodine, I",UG
1101,"Manganese, Mn",MG
1102,"Molybdenum, Mo",UG
1103,"Selenium, Se",UG
1104,"Vitamin A, IU",IU
1105,Retinol,UG
1106,"Vitamin A, RAE",UG
1107,"Carotene, beta",UG
1108,"Carotene, alpha",UG
1109,Vitamin E (alpha-tocopherol),MG
1110,"Vitamin D (D2 + D3), International Units",IU
1111,Vitamin D2 (ergocalciferol),UG
1112,Vitamin D3 (cholecalciferol),UG
1113,25-hydroxycholecalciferol,UG
1114,Vitamin D (D2 + D3),UG
1116,Phytoene,UG
1117,Phytofluene,UG
1119,Zeaxanthin,UG
1120,"Cryptoxanthin, beta",UG
1121,Lutein,UG
1122,Lycopene,UG
1123,Lutein + zeaxanthin,UG
1124,Vitamin E (label entry primarily),IU
1125,"Tocopherol, beta",MG
1126,"Tocopherol, gamma",MG
1127,"Tocopherol, delta",MG
1128,"Tocotrienol, alpha",MG
1129,"Tocotrienol, beta",MG
1130,"Tocotrienol, gamma",MG
1131,"Tocotrienol, delta",MG
1137,"Boron, B",UG
1146,"Nickel, Ni",UG
1158,Vitamin E,MG_ATE
1159,cis-beta-Carotene,UG
1160,cis-Lycopene,UG
1161,cis-Lutein/Zeaxanthin,UG
1162,"Vitamin C, total ascorbic acid",MG
1165,Thiamin,MG
1166,Riboflavin,MG
1167,Niacin,MG
1170,Pantothenic acid,MG
1175,Vitamin B-6,MG
1176,Biotin,UG
1177,"Folate, total",UG
1178,Vitamin B-12,UG
